symbol	lab	z	pvalue
CD37	S+	2.58322325226996	0.00261081889873791
CD47	O+	2.32582187482492	0.00472256696862889
CD48	O+	2.80079559864272	0.00158199243122169
CD63	S+	3.86201444590348	0.00013739962711216
CD68	S+	4.12336887272739	7.52715964680447e-05
CD69	O+	2.02358108945943	0.00947150320460676
ADGRE5	S+	3.42710503778452	0.000374020117410985
CDA	S+	4.63074085911518	2.3402332251094e-05
CDK11B	S+	2.25192919795621	0.00559848864945598
LRBA	O+	2.670950312483	0.00213328896821272
CDC5L	O+	2.70414539931919	0.00197630787271956
SEPTIN7	O+	2.16265203306746	0.00687619155968857
CDC27	O+	2.18326664514504	0.0065574253438196
CDKN1A	S+	3.8356521121513	0.000145998329901714
CDKN2D	S+	4.74312619587309	1.80664907953852e-05
CD52	O+	2.2131967482042	0.00612073041772568
CEBPA	S+	2.51390109710231	0.00306266082118773
CENPC	O+	2.69489488833833	0.00201885492507687
CFL1	S+	4.68502995662305	2.0652376956055e-05
CEACAM3	S+	4.48051536908611	3.30738407473494e-05
CEACAM4	S+	3.90050812407824	0.000125745333174596
CHRNA2	S+	2.98778540793834	0.00102852438343973
AP2M1	S+	2.17432523948811	0.00669383126263294
CLU	S+	3.98452037906066	0.000103628597606677
CLK3	S+	4.93154021718796	1.17073818284994e-05
TPP1	S+	2.8605830771654	0.00137853222522424
CLN3	S+	3.22599821396205	0.000594294602649693
CLNS1A	O+	2.31521275559452	0.00483935235507689
CLPTM1	S+	4.0273208307945	9.39029355531557e-05
CCR1	S+	2.1715683542178	0.00673645861059183
LTB4R	S+	2.72258150354563	0.00189416800466896
CNN2	S+	4.60095577434199	2.50636447150455e-05
COL7A1	S+	2.36363945581195	0.00432873046042372
COMT	S+	2.58528677937938	0.00259844315636126
COPB1	O+	2.24083338105383	0.00574336766715387
COX6C	O+	5.49942767812693	3.16644771941402e-06
COX7C	O+	3.47312058822364	0.000336418144980586
COX11	O+	1.99530637895546	0.0101086607342229
ATF6B	S+	4.45861645078721	3.47843225209977e-05
CSE1L	O+	2.72937418180002	0.00186477233781266
CSF1R	S+	2.69753813241648	0.00200660489608504
CSF3R	S+	6.04452066304534	9.02566763748673e-07
CSK	S+	3.66215531911688	0.000217693108531784
CSNK1D	S+	4.9978201139736	1.00503199122472e-05
CSNK2B	S+	3.07131976172915	0.000848555471749273
CST3	S+	3.577681116049	0.000264434967807082
CSTB	S+	2.14348414703165	0.00718647390549829
CTLA4	O+	2.35931055946915	0.00437209349486759
CTSD	S+	5.17789009499596	6.63911062211734e-06
CTSZ	S+	2.60971501317886	0.00245632024002337
CUX1	S+	3.19239512136173	0.000642103265581114
CYBA	S+	5.1345363119591	7.33607373932249e-06
DAP	S+	2.02266554521664	0.00949149131722875
DAPK3	S+	2.49035929860996	0.00323326053553167
DBI	O+	2.65712304680802	0.00220230240568013
DBN1	S+	2.36439515638797	0.00432120473809115
DCTD	N+	2.2459497899499	0.00567610224686718
DCTN1	S+	2.72132015251213	0.00189967736250146
DDX1	O+	4.36420922096004	4.32305518083166e-05
DHX8	S+	3.64588376810086	0.000226004055261503
CYB5R3	S+	4.29775590770987	5.03783677456761e-05
DIAPH1	S+	3.50004606548112	0.000316194225614528
DLG4	S+	3.05481846550725	0.000881417227198733
DNM1	S+	1.98732985625067	0.0102960381655256
DNM2	S+	4.39348761310496	4.04121900665417e-05
DOCK2	S+	2.20661470519241	0.00621420097552943
DOK1	S+	4.44809318827751	3.56374656507882e-05
ARID3A	S+	3.20488360622654	0.000623902022917485
RCAN1	O+	2.19292291837683	0.00641323393047177
DUSP1	S+	2.10565067909462	0.00784060040927799
DUSP3	S+	3.50387608744681	0.000313417983843283
DVL3	S+	3.15546785527062	0.000699088478562221
E2F4	S+	2.90552206982944	0.00124301946689861
GPR183	O+	3.18796555872535	0.000648685874870768
ECE1	S+	5.13774985449489	7.28199112848149e-06
S1PR1	O+	2.11899415900221	0.00760336502936956
PHC1	O+	2.42235491417954	0.00378133440167284
PHC2	S+	4.7911137363223	1.61765633809296e-05
EIF2S1	O+	2.66743380722405	0.00215063244192828
EIF4A2	O+	3.31768515230396	0.000481188065868766
EIF4EBP1	S+	2.79139934040192	0.00161659287220266
EIF5	O+	2.47661263414358	0.00333723942737086
ELK4	O+	4.06421001492597	8.62561331870702e-05
MARK2	S+	4.12460988944835	7.50568113986692e-05
EMP3	S+	2.01574103477542	0.00964403916101635
ADGRE1	S+	2.56620766123944	0.00271514069304259
CTTN	S+	3.56751969792267	0.000270695042430619
ENO1	S+	2.68935966123656	0.00204475057393355
EPHB4	S+	2.79950445820505	0.00158670263073634
EPHX2	O+	2.46520537000839	0.00342605736175845
NR2F6	N+	3.74384280708371	0.000180367046136845
ERF	S+	3.89077896624077	0.000128594097184569
ETV6	S+	2.26593973623833	0.00542076104985623
