Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
React	R-HSA-156842	React Eukaryotic Translation Elongation	0.0295275590551181	2.58709485442227	0.000552539249740473	0.0182331865284417	1.73913742510347	15	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/RPL22L1
React	R-HSA-72764	React Eukaryotic Translation Termination	0.0295275590551181	2.58709485442227	0.000552539249740473	0.0182331865284417	1.73913742510347	15	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/RPL22L1
React	R-HSA-191859	React snRNP Assembly	0.0216535433070866	3.13768170805572	0.000562548404688764	0.0182331865284417	1.73913742510347	11	CLNS1A/NUP88/RANBP2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/NCBP2/NUP133/NUP107
React	R-HSA-194441	React Metabolism of non-coding RNA	0.0216535433070866	3.13768170805572	0.000562548404688764	0.0182331865284417	1.73913742510347	11	CLNS1A/NUP88/RANBP2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/NCBP2/NUP133/NUP107
React	R-HSA-1799339	React SRP-dependent cotranslational protein targeting to membrane	0.0334645669291339	2.40148106486689	0.00059536234571508	0.0183038499704586	1.73745755261549	17	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/SRP14/SRP72/RPL23/RPL35/RPL22L1
React	R-HSA-159236	React Transport of Mature mRNA derived from an Intron-Containing Transcript	0.0255905511811024	2.79456236448705	0.000597947911920607	0.0183038499704586	1.73745755261549	13	NUP88/RANBP2/SRSF1/SRSF2/SRSF3/SRSF6/SRSF7/SRSF11/NCBP2/NUP133/NUP107/THOC7/SARNP
React	R-HSA-5368286	React Mitochondrial translation initiation	0.0295275590551181	2.55735813195764	0.000627245176284429	0.0186817347098768	1.7285827994149	15	MRPS31/MRPL42/MRPL13/MRPL15/MRPS23/MRPS33/MRPL50/PTCD3/MRPL47/MRPS35/MRPS25/MRPS9/MRPS6/MRPL32/MRPL1
React	R-HSA-68882	React Mitotic Anaphase	0.0531496062992126	1.93469702156796	0.000669526850047956	0.0190566271475733	1.71995396313205	27	CDC27/CENPC/KIF2A/PPP1CC/PPP2R1B/PPP2R5C/PSMA2/PSMA3/PSMA4/PSMA6/PSMC6/RANBP2/TMPO/SUMO1/XPO1/CDC23/CDC16/SMC3/BUB3/PSMD14/CLASP2/ANAPC4/NUP133/NUP107/MIS12/CHMP7/SKA2
React	R-HSA-2555396	React Mitotic Metaphase and Anaphase	0.0531496062992126	1.92539559357965	0.000721966565821675	0.0190566271475733	1.71995396313205	27	CDC27/CENPC/KIF2A/PPP1CC/PPP2R1B/PPP2R5C/PSMA2/PSMA3/PSMA4/PSMA6/PSMC6/RANBP2/TMPO/SUMO1/XPO1/CDC23/CDC16/SMC3/BUB3/PSMD14/CLASP2/ANAPC4/NUP133/NUP107/MIS12/CHMP7/SKA2
React	R-HSA-611105	React Respiratory electron transport	0.0393700787401575	2.18127605372858	0.000733340216010148	0.0190566271475733	1.71995396313205	20	COX6C/COX7C/COX11/MDH1/NDUFA4/NDUFA5/NDUFA6/NDUFB5/NDUFS4/NDUFS5/UQCRB/UQCRH/COX16/TTC19/TMEM126B/UQCC2/DMAC1/NDUFAF2/NDUFAF6/COA5
React	R-HSA-2408522	React Selenoamino acid metabolism	0.0334645669291339	2.35659356832732	0.000743588899587707	0.0190566271475733	1.71995396313205	17	RARS1/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/SEPSECS/RPL22L1
React	R-HSA-927802	React Nonsense-Mediated Decay (NMD)	0.0334645669291339	2.35659356832732	0.000743588899587707	0.0190566271475733	1.71995396313205	17	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/NCBP2/PNRC2/RPL22L1
React	R-HSA-975957	React Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	0.0334645669291339	2.35659356832732	0.000743588899587707	0.0190566271475733	1.71995396313205	17	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/NCBP2/PNRC2/RPL22L1
