	Neu	OxA	SNs	x	y	r	angle	z	pvalue	col	lab
NT5DC4	-0.41141341158552	-0.257140558335098	0.310620283228486	-0.438153274032214	-0.491695312068096	0.658591353917504	228.295535528641	2.69688171067704	0.00200964010622284	green3	S+
RNF149	-0.326848996827992	-0.099968156608074	0.200873507384992	-0.377301672216451	-0.260536523534777	0.458514811050764	214.626078208756	0.82154081224979	0.150820087269763	grey60	ns
CCDC141	-0.107042253252167	0.369368923481932	-0.111142044771008	-0.236155692607629	0.416134705304103	0.478474246025345	119.57483211199	0.343530775129642	0.453387168558275	grey60	ns
STARD7-AS1	0.0730486116379942	-0.120941153856465	0.0181507741106119	0.124443801510921	-0.120457143080844	0.173194061831485	315.932615957903	0.0301770356363955	0.932873946899903	grey60	ns
ANAPC1P2	-0.0384848515078754	-0.0501639841345977	0.0405448817430056	-0.0336753003120794	-0.0785561821984798	0.0854698754691353	246.796255254865	0.120903218945421	0.757001571462448	grey60	ns
RTP5	0.255446928701372	-0.244762398339986	-0.0149190705070636	0.385287663124896	-0.199050160793666	0.433667556854589	332.677884842374	0.84149368302075	0.144047696238205	grey60	ns
IAH1	0.00638967655505624	0.42320312081444	-0.189276417904792	-0.110573674899767	0.53042283982903	0.541825549963392	101.775423390504	1.4783163939536	0.0332417291082873	grey60	ns
CYP1B1-AS1	-0.256215846236048	-0.194138798966342	0.208404677738487	-0.26334878562212	-0.348612876954092	0.436902186841465	232.931908295853	0.932918927048869	0.116702745434209	grey60	ns
HYCC2	-0.522173896103451	0.247875954647907	0.141578050084579	-0.716900898469694	0.0920566857208954	0.722787196630219	172.682736217166	1.19454492410057	0.0638932641737887	grey60	ns
RUFY4	-0.365438404021728	-0.0354347572405073	0.191001727116253	-0.4432218889596	-0.196099747796592	0.484665610435487	203.866586002533	0.577187862514671	0.264735472617553	grey60	ns
RGPD4	-0.19252823261612	0.501390914516257	-0.128198450731411	-0.379124464508543	0.545240384257001	0.664095201167431	124.812222720673	1.21059381671198	0.06157524992997	grey60	ns
DUSP28	0.267711061977822	0.0182006685690587	-0.136509603919748	0.326865529653166	0.133983026201719	0.353259855893103	22.2888508484687	0.452482727274135	0.35279081750841	grey60	ns
SLC9A9	-0.262440809219964	0.32341886881506	-0.0163327138530438	-0.415983886700972	0.294233501566546	0.509525217667347	144.727487082091	0.494816816120205	0.320024467696077	grey60	ns
EOGT	-0.173775265575793	0.44526547852153	-0.112504683073084	-0.340155663300016	0.483043129413888	0.590793144974649	125.152944272233	0.835775507347198	0.145956853589767	grey60	ns
C3orf38	-0.116721239944821	0.548483517181878	-0.185306552386512	-0.298309722342504	0.635480841290976	0.702014665154475	115.146469906995	1.60576312635174	0.0247877366602617	grey60	ns
ZNF619	0.0321721314249017	0.469705682795506	-0.222113123513973	-0.0916241482158648	0.599132661079835	0.606098119209165	98.6947641121727	1.711345965192	0.0194381099706842	grey60	ns
