Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.5	2	1	0.6	1	1	10	0.757310541984068	0.241566318991995	0.05183417359787	0.142327058004918
0.5	2	1	0.6	10	1	10	0.749423177058095	0.12320279813162	0.0658370780140777	0.184584967556514
0.5	2	1	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	2	1	1	1	1	10	0.75610169734624	0.254243922861881	0.0591572619531128	0.165576665261404
0.5	2	1	1	10	1	10	0.745426729922564	0.118291689458889	0.0628522928844861	0.170440008391333
0.5	2	1	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	2	1.5	0.2	1	1	10	0.750461254047772	0.211330419313498	0.0591908053148092	0.155860442034594
0.5	2	1.5	0.2	10	1	10	0.750748932443578	0.120930153969205	0.0672431897302668	0.169070577220203
0.5	2	1.5	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	2	1.5	0.6	1	1	10	0.755874103843412	0.235735320425878	0.0623193018706046	0.149969429062034
0.5	2	1.5	0.6	10	1	10	0.754886985967322	0.146896430905102	0.0693659819971375	0.197130292735556
0.5	2	1.5	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	2	1.5	1	1	1	10	0.759768089137756	0.254876119027238	0.0601194269101157	0.161456721819471
0.5	2	1.5	1	10	1	10	0.745426729922564	0.118291689458889	0.0628522928844861	0.170440008391333
0.5	2	1.5	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	4	0	0.2	1	1	10	0.754014510436717	0.142983408331881	0.0590508467973434	0.135585933901873
0.1	4	0	0.2	10	1	10	0.747896159665279	0.0422050342691582	0.0623521009157348	0.110697177516308
0.1	4	0	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	4	0	0.6	1	1	10	0.740974609549505	0.183779937685943	0.0662157493900293	0.161770607525042
0.1	4	0	0.6	10	1	10	0.745444740830744	0.115840332074556	0.0601742131459647	0.155927015465537
0.1	4	0	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	4	0	1	1	1	10	0.724523400923221	0.184506146337024	0.0616435284539885	0.169599950037232
0.1	4	0	1	10	1	10	0.743073515884176	0.121925749398142	0.0609147554070116	0.158421637836518
0.1	4	0	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	4	1	0.2	1	1	10	0.756116355240692	0.150813228055423	0.0600472736138135	0.149951611721784
0.1	4	1	0.2	10	1	10	0.750633220174376	0.0549556375053981	0.068363592445591	0.141046651860396
0.1	4	1	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	4	1	0.6	1	1	10	0.73616819663192	0.175388776220036	0.0594655946832184	0.147485058922614
0.1	4	1	0.6	10	1	10	0.745388294734264	0.114280570138388	0.0624640967902848	0.153377963120202
0.1	4	1	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	4	1	1	1	1	10	0.724018826700305	0.186955605334199	0.0636274836748819	0.173973552909868
0.1	4	1	1	10	1	10	0.743073515884176	0.121925749398142	0.0609147554070116	0.158421637836518
0.1	4	1	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	4	1.5	0.2	1	1	10	0.752924667129227	0.144542863815488	0.063163785188743	0.138451930479548
0.1	4	1.5	0.2	10	1	10	0.746793866371444	0.0362268067730553	0.0636441642332898	0.107169267951263
0.1	4	1.5	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	4	1.5	0.6	1	1	10	0.745496796858865	0.193838714841106	0.0592977169349809	0.158202582767584
0.1	4	1.5	0.6	10	1	10	0.748114560254321	0.117269690980359	0.064387865902584	0.164480118552721
0.1	4	1.5	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.1	4	1.5	1	1	1	10	0.725430701266178	0.187232702744951	0.0673265130975004	0.180085599889847
0.1	4	1.5	1	10	1	10	0.743073515884176	0.121925749398142	0.0609147554070116	0.158421637836518
0.1	4	1.5	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	4	0	0.2	1	1	10	0.749816860399442	0.164600691597804	0.0533540007196789	0.139298212383199
0.3	4	0	0.2	10	1	10	0.756412425240567	0.120989023998927	0.0686465064449261	0.162868176545704
0.3	4	0	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	4	0	0.6	1	1	10	0.757016996565186	0.227407885159883	0.0535547371162154	0.141876683888231
0.3	4	0	0.6	10	1	10	0.756988069480126	0.137599058746752	0.0649196930346273	0.167131881421718
0.3	4	0	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	4	0	1	1	1	10	0.741776366318933	0.209869422276529	0.0590358704318673	0.14615236495784
0.3	4	0	1	10	1	10	0.757765977286717	0.157458708285311	0.0704793197579558	0.185917697030415
0.3	4	0	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	4	1	0.2	1	1	10	0.749039665629064	0.17613982631467	0.0577779153795127	0.133984967620276
